nome,tot,male,female
AGOSTINO SALVATORE,5,5,0
AGOSTINO SANDRO,9,9,0
AGOSTINO SANTINO,10,10,0
AGOSTINO SEBASTIANO,2,2,0
AGOSTINO STEFANO,10,10,0
AGOSTINO TOMMASO,5,5,0
AGOSTINO VINCENZO,6,6,0
AGOSTINO VITO ANTONI,3,3,0
AGREPPINO,11,11,0
AGRICOLO,12,12,0
AGRIPPINA,10,0,10
AGRIPPINI,1,1,0
AGRIPPINO,82,82,0
AGUGLIA,2,2,0
AGUINALDO,15,15,0
AHMAD,22,22,0
AICHA,4,0,4
AIDA,145,0,145
AIDA ADUA,5,0,5
AIDA ANTONELLA,8,0,8
AIDI,2,0,2
AIDO,20,20,0
AIELLO,2,2,0
AIMES,4,4,0
AIMO,23,23,0
AIMO GEROLAMO,16,16,0
AIMONE,105,105,0
AIMONE ANDREA,6,6,0
AIMONE CESIDIO,5,5,0
AINER FERRUCCIO,10,10,0
AINOM,4,0,4
AIRA,10,0,10
AIRINO,8,8,0
AISSATOU,1,0,1
AJDA,1,0,1
AJMONE,17,17,0
AJNA,1,0,1
AKIL,5,5,0
AKRAM,3,3,0
AL JAMAL,3,3,0
ALADINO,147,147,0
ALAIA DOMENICO,2,2,0
ALAIMO,14,14,0
ALAIN,58,58,0
ALAMANNO,5,5,0
ALAMIRO,14,14,0
ALAN,382,382,0
ALAN CHRISTIAN,18,18,0
ALAN CRISTIANO,10,10,0
ALAN EMILIANO,10,10,0
ALAN FRANCESCO,1,1,0
ALAOUI MOHAMED,17,17,0
ALARICO,7,7,0
ALARICO LUCA,4,4,0
ALASSANDRO,5,5,0
ALBA,565,5,560
ALBA CARMEN,10,0,10
ALBA CONCETTA,4,0,4
ALBA ELENA,1,0,1
ALBA IVA,7,0,7
ALBA LOREDANA,19,0,19
ALBA MARIA,51,0,51
ALBA PIA,5,0,5
ALBA RITA,29,0,29
ALBA ROSA,26,0,26
ALBA TERESA,14,0,14
ALBANA,25,0,25
ALBANO,441,441,0
ALBANO CIRO,1,1,0
ALBANO CLAUDIO,3,3,0
ALBANO GUERINO,19,19,0
ALBANO LINO,10,10,0
ALBANO LORENZO,10,10,0
ALBANO LUCIANO,20,20,0
ALBANO MARIO,5,5,0
ALBAROSA,47,0,47
ALBEERTO ZENO,5,5,0
ALBENSIO,6,6,0
ALBENZO,11,11,0
ALBER,4,4,0
ALBERICH,28,28,0
ALBERICO,417,417,0
ALBERICO ALESSANDRO,5,5,0
ALBERICO ANTONIO,3,3,0
ALBERICO EZIO,5,5,0
ALBERICO  PIETRO,1,1,0
ALBERIGO,19,19,0
ALBERIGO MARIA GUIDO,5,5,0
ALBERINO,86,86,0
ALBERINTA,4,0,4
ALBERT,663,663,0
ALBERT ALBUIN,10,10,0
ALBERT ALOIS,10,10,0
ALBERT JOHAN LAMBERTUS,2,2,0
ALBERT JOHANN,10,10,0
ALBERT NICOLAS,5,5,0
ALBERTA,322,0,322
ALBERTA ANNARITA,5,0,5
ALBERTA SPOLAORE,5,0,5
ALBERTINA,296,0,296
ALBERTINA ANNA VITTORIA,1,0,1
ALBERTINO,391,391,0
ALBERTO,34581,34581,0
ALBERTO ADOLFO,7,7,0
ALBERTO AGATINO,5,5,0
ALBERTO AGOSTINO,15,15,0
ALBERTO AGOSTINO M,1,1,0
ALBERTO ALDO,9,9,0
ALBERTO ALESSANDRO,3,3,0
